GO_0003674|molecular_function
GO_0016707|gibberellin 3-beta-dioxygenase activity
GO_0016710|trans-cinnamate 4-monooxygenase activity
GO_0016711|flavonoid 3'-monooxygenase activity
GO_0016718|obsolete oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, miscellaneous
GO_0016719|9,9'-di-cis-zeta-carotene desaturase activity
GO_0016720|delta12-fatty acid dehydrogenase activity
GO_0016725|oxidoreductase activity, acting on CH or CH2 groups
GO_0016729|obsolete oxidoreductase activity, acting on CH2 groups, other acceptors
GO_0016730|oxidoreductase activity, acting on iron-sulfur proteins as donors
GO_0016732|oxidoreductase activity, acting on iron-sulfur proteins as donors, dinitrogen as acceptor
GO_0016733|obsolete iron-iron nitrogenase activity
GO_0016734|obsolete molybdenum-iron nitrogenase activity
GO_0016735|obsolete vanadium-iron nitrogenase activity
GO_0016736|
GO_0016737|oxidoreductase activity, acting on reduced flavodoxin as donor
GO_0016738|oxidoreductase activity, acting on reduced flavodoxin as donor, dinitrogen as acceptor
GO_0016739|obsolete oxidoreductase activity, acting on other substrates
GO_0016745|
GO_0016748|succinyltransferase activity
GO_0016752|sinapoyltransferase activity
GO_0016753|O-sinapoyltransferase activity
GO_0016754|sinapoylglucose-malate O-sinapoyltransferase activity
GO_0016756|glutathione gamma-glutamylcysteinyltransferase activity
GO_0016759|cellulose synthase activity
GO_0016760|cellulose synthase (UDP-forming) activity
GO_0016761|cellulose synthase (GDP-forming) activity
GO_0016762|xyloglucan:xyloglucosyl transferase activity
GO_0016764|obsolete transferase activity, transferring other glycosyl groups
GO_0016766|
GO_0016767|geranylgeranyl-diphosphate geranylgeranyltransferase activity
GO_0016768|spermine synthase activity
GO_0016770|
GO_0016771|obsolete transferase activity, transferring other nitrogenous groups
GO_0016777|
GO_0016784|3-mercaptopyruvate sulfurtransferase activity
GO_0016786|
GO_0016789|
GO_0016792|
GO_0016795|phosphoric triester hydrolase activity
GO_0016796|exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO_0016797|exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO_0016800|
GO_0016801|hydrolase activity, acting on ether bonds
GO_0016802|trialkylsulfonium hydrolase activity
GO_0016804|obsolete prolyl aminopeptidase activity
GO_0016805|dipeptidase activity
GO_0016806|obsolete dipeptidyl-peptidase and tripeptidyl-peptidase activity
GO_0016807|cysteine-type carboxypeptidase activity
GO_0016808|obsolete proprotein convertase activity
GO_0016809|
GO_0016816|obsolete hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in other compounds
GO_0016817|hydrolase activity, acting on acid anhydrides
GO_0016818|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO_0016819|hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides
GO_0016820|
GO_0016821|obsolete hydrolase activity, acting on acid anhydrides, involved in cellular and subcellular movement
GO_0016822|hydrolase activity, acting on acid carbon-carbon bonds
GO_0016824|hydrolase activity, acting on acid halide bonds
GO_0016825|hydrolase activity, acting on acid phosphorus-nitrogen bonds
GO_0016826|hydrolase activity, acting on acid sulfur-nitrogen bonds
GO_0016827|hydrolase activity, acting on acid carbon-phosphorus bonds
GO_0016828|hydrolase activity, acting on acid sulfur-sulfur bonds
GO_0016834|obsolete other carbon-carbon lyase activity
GO_0016835|carbon-oxygen lyase activity
GO_0016839|obsolete other carbon-oxygen lyase activity
GO_0016843|amine-lyase activity
GO_0016844|strictosidine synthase activity
GO_0016845|obsolete other carbon-nitrogen lyase activity
GO_0016847|1-aminocyclopropane-1-carboxylate synthase activity
GO_0016848|carbon-halide lyase activity
GO_0016850|obsolete other lyase activity
GO_0016851|magnesium chelatase activity
GO_0016852|sirohydrochlorin cobaltochelatase activity
GO_0016855|racemase and epimerase activity, acting on amino acids and derivatives
GO_0016858|obsolete racemase and epimerase activity, acting on other compounds
GO_0016862|intramolecular oxidoreductase activity, interconverting keto- and enol-groups
GO_0016865|obsolete intramolecular oxidoreductase activity, other intramolecular oxidoreductases
GO_0016867|intramolecular acyltransferase activity
GO_0016869|intramolecular aminotransferase activity
GO_0016870|obsolete intramolecular transferase activity, transferring other groups
GO_0016871|cycloartenol synthase activity
GO_0016873|obsolete other isomerase activity
GO_0016876|
GO_0016883|obsolete other carbon-nitrogen ligase activity
GO_0016890|site-specific endodeoxyribonuclease activity, specific for altered base
GO_0016893|endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO_0016894|endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO_0016897|RNA exonuclease activity, producing 3'-phosphomonoesters
GO_0016900|oxidoreductase activity, acting on the CH-OH group of donors, disulfide as acceptor
GO_0016902|obsolete oxidoreductase activity, acting on the CH-OH group of donors, other acceptors
GO_0016904|
GO_0016905|myosin heavy chain kinase activity
GO_0016906|sterol 3-beta-glucosyltransferase activity
GO_0016908|
GO_0016909|
GO_0016910|obsolete SAP kinase 3 activity
GO_0016911|obsolete SAP kinase 4 activity
GO_0016912|obsolete SAP kinase 5 activity
GO_0016913|follicle-stimulating hormone activity
GO_0016914|follicle-stimulating hormone complex
GO_0016915|obsolete activin
GO_0016916|obsolete inhibin
GO_0016919|obsolete nardilysin activity
GO_0016920|pyroglutamyl-peptidase activity
GO_0016921|obsolete pyroglutamyl-peptidase II activity
GO_0016922|nuclear receptor binding
GO_0016923|obsolete ligand-dependent thyroid hormone receptor interactor activity
GO_0016924|
GO_0016926|protein desumoylation
GO_0016927|
GO_0016928|
GO_0016929|deSUMOylase activity
GO_0016930|
GO_0016931|
GO_0016932|
GO_0016933|extracellularly glycine-gated ion channel activity
GO_0016935|glycine-gated chloride channel complex
GO_0016936|galactoside binding
GO_0016938|kinesin I complex
GO_0016939|kinesin II complex
GO_0016940|
GO_0016941|natriuretic peptide receptor activity
GO_0016942|insulin-like growth factor binding protein complex
GO_0016943|obsolete RNA polymerase I transcription elongation factor activity
GO_0016944|obsolete RNA polymerase II transcription elongation factor activity
GO_0016945|obsolete RNA polymerase III transcription elongation factor activity
GO_0016946|obsolete cathepsin F activity
GO_0016947|
GO_0016948|
GO_0016949|
GO_0016950|
GO_0016951|
GO_0016952|
GO_0016953|
GO_0016954|
GO_0016955|
GO_0016956|
GO_0016957|
GO_0016958|
GO_0016959|
GO_0016960|
GO_0016961|
GO_0016962|obsolete receptor-associated protein activity
GO_0016963|obsolete alpha-2 macroglobulin receptor-associated protein activity
GO_0016964|alpha-2 macroglobulin receptor activity
GO_0016965|
GO_0016966|nitric oxide reductase activity
GO_0016967|
GO_0016968|
GO_0016969|obsolete hemerythrin
GO_0016970|obsolete hemocyanin
GO_0016971|flavin-dependent sulfhydryl oxidase activity
GO_0016972|thiol oxidase activity
GO_0016973|poly(A)+ mRNA export from nucleus
GO_0016974|
GO_0016975|obsolete alpha-2 macroglobulin
GO_0016976|
GO_0016977|chitosanase activity
GO_0016978|
GO_0016980|creatinase activity
GO_0016982|
GO_0016983|
GO_0016984|ribulose-bisphosphate carboxylase activity
GO_0016985|mannan endo-1,4-beta-mannosidase activity
GO_0016986|obsolete transcription initiation factor activity
GO_0016988|obsolete transcription initiation factor antagonist activity
GO_0016989|sigma factor antagonist activity
GO_0016990|arginine deiminase activity
GO_0016991|
GO_0016992|lipoate synthase activity
GO_0016993|precorrin-8X methylmutase activity
GO_0016994|precorrin-6A reductase activity
GO_0016995|cholesterol oxidase activity
GO_0016996|endo-alpha-(2,8)-sialidase activity
GO_0016999|antibiotic metabolic process
GO_0017001|antibiotic catabolic process
GO_0017002|activin receptor activity
GO_0017003|protein-heme linkage
GO_0017005|3'-tyrosyl-DNA phosphodiesterase activity
GO_0017006|protein-tetrapyrrole linkage
GO_0017007|protein-bilin linkage
GO_0017008|protein-phycobiliviolin linkage
GO_0017009|protein-phycocyanobilin linkage
GO_0017010|protein-phycourobilin linkage
GO_0017011|protein-phycoerythrobilin linkage
GO_0017012|protein-phytochromobilin linkage
GO_0017013|protein flavinylation
GO_0017014|protein nitrosylation
GO_0017015|regulation of transforming growth factor beta receptor signaling pathway
GO_0017016|
GO_0017017|MAP kinase tyrosine/serine/threonine phosphatase activity
GO_0017018|myosin phosphatase activity
GO_0017019|
GO_0017020|myosin phosphatase regulator activity
GO_0017021|obsolete myosin phosphatase myosin binding
GO_0017022|myosin binding
GO_0017023|myosin phosphatase complex
GO_0017024|myosin I binding
GO_0017025|TBP-class protein binding
GO_0017026|obsolete procollagen C-endopeptidase activity
GO_0017027|obsolete transmembrane receptor protein serine/threonine kinase receptor-associated protein activity
GO_0017028|obsolete protein stabilization activity
GO_0017029|obsolete lysosomal protein stabilization
GO_0017030|obsolete beta-galactosidase stabilization activity
GO_0017031|
GO_0017032|amino acid:potassium symporter activity
GO_0017033|
GO_0017034|
GO_0017035|
GO_0017036|
GO_0017037|
GO_0017038|protein import
GO_0017039|obsolete dipeptidyl-peptidase III activity
GO_0017040|N-acylsphingosine amidohydrolase activity
GO_0017041|obsolete galactosylgalactosylglucosylceramidase activity
GO_0017042|glycosylceramidase activity
GO_0017043|obsolete adrenocorticotropin
GO_0017044|melanocyte-stimulating hormone activity
GO_0017045|corticotropin-releasing hormone activity
GO_0017046|peptide hormone binding
GO_0017047|
GO_0017048|
GO_0017049|
GO_0017050|D-erythro-sphingosine kinase activity
GO_0017051|retinol dehydratase activity
GO_0017052|obsolete insulin-like growth factor binding protein
GO_0017053|transcription repressor complex
GO_0017054|negative cofactor 2 complex
GO_0017055|negative regulation of RNA polymerase II transcription preinitiation complex assembly
GO_0017057|6-phosphogluconolactonase activity
GO_0017058|FH1 domain binding
GO_0017059|serine C-palmitoyltransferase complex
GO_0017060|3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity
GO_0017061|S-methyl-5-thioadenosine phosphorylase activity
GO_0017062|respiratory chain complex III assembly
GO_0017063|obsolete phosphatidylserine-specific phospholipase A1 activity
GO_0017064|fatty acid amide hydrolase activity
GO_0017065|single-strand selective uracil DNA N-glycosylase activity
GO_0017066|
GO_0017068|
GO_0017070|U6 snRNA binding
GO_0017071|intracellular cyclic nucleotide activated cation channel complex
GO_0017072|obsolete tubulin-specific chaperone activity
GO_0017073|
GO_0017074|obsolete procollagen N-endopeptidase activity
GO_0017075|syntaxin-1 binding
GO_0017077|oxidative phosphorylation uncoupler activity
GO_0017078|obsolete Hsc70 protein regulator activity
GO_0017079|
GO_0017080|sodium channel regulator activity
GO_0017081|chloride channel regulator activity
GO_0017082|obsolete mineralocorticoid receptor activity
GO_0017083|4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity
GO_0017084|delta1-pyrroline-5-carboxylate synthetase activity
GO_0017085|response to insecticide
GO_0017086|3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex
GO_0017087|mitochondrial processing peptidase complex
GO_0017088|obsolete X-Pro dipeptidyl-peptidase activity
GO_0017089|glycolipid transfer activity
GO_0017090|meprin A complex
GO_0017091|
GO_0017092|obsolete sterol regulatory element-binding protein site 2 protease activity
GO_0017093|obsolete sterol regulatory element-binding protein protease activity
GO_0017094|obsolete sterol regulatory element-binding protein site 1 protease activity
GO_0017095|heparan sulfate 6-O-sulfotransferase activity
GO_0017096|acetylserotonin O-methyltransferase activity
GO_0017097|
GO_0017098|sulfonylurea receptor binding
GO_0017099|very-long-chain-acyl-CoA dehydrogenase activity
GO_0017100|
GO_0017101|aminoacyl-tRNA synthetase multienzyme complex
GO_0017102|methionyl glutamyl tRNA synthetase complex
GO_0017104|
GO_0017105|acyl-CoA delta11-(Z)-desaturase activity
GO_0017106|obsolete activin inhibitor activity
GO_0017107|obsolete anion exchanger adaptor activity
GO_0017108|5'-flap endonuclease activity
GO_0017109|glutamate-cysteine ligase complex
GO_0017112|
GO_0017113|dihydropyrimidine dehydrogenase (NADP+) activity
GO_0017114|obsolete wide-spectrum protease inhibitor activity
GO_0017115|
GO_0017116|single-stranded DNA helicase activity
GO_0017117|single-stranded DNA-dependent ATP-dependent DNA helicase complex
GO_0017118|lipoyltransferase activity
GO_0017119|Golgi transport complex
GO_0017120|obsolete polyphosphatidylinositol phosphatase activity
GO_0017121|plasma membrane phospholipid scrambling
GO_0017122|protein N-acetylglucosaminyltransferase complex
GO_0017123|
GO_0017124|SH3 domain binding
GO_0017125|deoxycytidyl transferase activity
GO_0017126|nucleologenesis
GO_0017127|
GO_0017128|phospholipid scramblase activity
GO_0017129|triglyceride binding
GO_0017130|poly(C) RNA binding
GO_0017131|uridine-rich cytoplasmic polyadenylylation element binding
GO_0017132|
GO_0017133|mitochondrial electron transfer flavoprotein complex
GO_0017135|obsolete membrane-associated protein with guanylate kinase activity interacting
GO_0017136|NAD-dependent histone deacetylase activity
GO_0017137|
GO_0017138|
GO_0017139|obsolete arsenate sensitivity/resistance
GO_0017140|
GO_0017141|obsolete antibiotic susceptibility/resistance
GO_0017142|obsolete toxin susceptibility/resistance
GO_0017143|insecticide metabolic process
GO_0017144|
GO_0017145|stem cell division
GO_0017146|NMDA selective glutamate receptor complex
GO_0017147|Wnt-protein binding
GO_0017149|obsolete protein biosynthetic process inhibitor activity
GO_0017150|tRNA dihydrouridine synthase activity
GO_0017151|DEAD/H-box RNA helicase binding
GO_0017152|
GO_0017153|sodium:dicarboxylate symporter activity
GO_0017154|semaphorin receptor activity
GO_0017155|obsolete sodium:hydrogen antiporter regulator activity
GO_0017156|calcium-ion regulated exocytosis
GO_0017157|regulation of exocytosis
GO_0017158|regulation of calcium ion-dependent exocytosis
GO_0017159|pantetheine hydrolase activity
GO_0017160|
GO_0017161|inositol-1,3,4-trisphosphate 4-phosphatase activity
GO_0017162|aryl hydrocarbon receptor binding
GO_0017163|obsolete basal transcription repressor activity
GO_0017164|obsolete nicotinic acetylcholine receptor-associated protein activity
GO_0017165|obsolete dipeptidase E activity
GO_0017166|vinculin binding
GO_0017167|
GO_0017168|5-oxoprolinase (ATP-hydrolyzing) activity
GO_0017170|obsolete KU70 binding
GO_0017172|cysteine dioxygenase activity
GO_0017173|
GO_0017174|glycine N-methyltransferase activity
GO_0017175|obsolete IMP-GMP specific 5'-nucleotidase activity
GO_0017176|phosphatidylinositol N-acetylglucosaminyltransferase activity
GO_0017177|glucosidase II complex
GO_0017178|diphthine-ammonia ligase activity
GO_0017179|obsolete peptidyl-diphthine metabolic process
GO_0017180|obsolete protein histidyl modification to diphthine
GO_0017181|obsolete peptidyl-diphthine catabolic process
GO_0017182|obsolete peptidyl-diphthamide metabolic process
GO_0017183|protein histidyl modification to diphthamide
GO_0017184|obsolete peptidyl-diphthamide catabolic process
GO_0017185|peptidyl-lysine hydroxylation
GO_0017186|peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase
GO_0017187|peptidyl-glutamic acid carboxylation
GO_0017188|aspartate N-acetyltransferase activity
GO_0017189|N-terminal peptidyl-alanine acetylation
GO_0017190|N-terminal peptidyl-aspartic acid acetylation
GO_0017191|
GO_0017192|N-terminal peptidyl-glutamine acetylation
GO_0017193|N-terminal peptidyl-glycine acetylation
GO_0017194|N-terminal peptidyl-isoleucine acetylation
GO_0017195|N-terminal peptidyl-lysine N2-acetylation
GO_0017196|N-terminal peptidyl-methionine acetylation
GO_0017197|N-terminal peptidyl-proline acetylation
GO_0017198|N-terminal peptidyl-serine acetylation
GO_0017199|N-terminal peptidyl-threonine acetylation
GO_0018000|N-terminal peptidyl-tyrosine acetylation
GO_0018001|N-terminal peptidyl-valine acetylation
GO_0018002|N-terminal peptidyl-glutamic acid acetylation
GO_0018003|peptidyl-lysine N6-acetylation
GO_0018004|N-terminal protein formylation
GO_0018005|N-terminal peptidyl-glycine N-formylation
GO_0018006|N-terminal protein amino acid glucuronylation
GO_0018007|N-terminal peptidyl-glycine N-glucuronylation
GO_0018008|N-terminal peptidyl-glycine N-myristoylation
GO_0018009|N-terminal peptidyl-L-cysteine N-palmitoylation
GO_0018010|obsolete glycoprotein N-palmitoyltransferase activity
GO_0018011|N-terminal peptidyl-alanine methylation
GO_0018012|N-terminal peptidyl-alanine trimethylation
GO_0018013|N-terminal peptidyl-glycine methylation
GO_0018014|N-terminal peptidyl-methionine methylation
GO_0018015|N-terminal peptidyl-phenylalanine methylation
GO_0018016|N-terminal peptidyl-proline dimethylation
GO_0018017|
GO_0018018|
GO_0018019|N-terminal peptidyl-glutamine methylation
GO_0018020|peptidyl-glutamic acid methylation
GO_0018021|peptidyl-histidine methylation
GO_0018022|peptidyl-lysine methylation
GO_0018023|peptidyl-lysine trimethylation
GO_0018024|obsolete histone lysine N-methyltransferase activity
GO_0018025|calmodulin-lysine N-methyltransferase activity
GO_0018026|peptidyl-lysine monomethylation
GO_0018027|peptidyl-lysine dimethylation
GO_0018028|peptidyl-lysine myristoylation
GO_0018029|peptidyl-lysine palmitoylation
GO_0018030|peptidyl-lysine N6-myristoyltransferase activity
GO_0018031|peptidyl-lysine N6-palmitoyltransferase activity
GO_0018032|protein amidation
GO_0018033|obsolete protein C-terminal amidation
GO_0018034|obsolete C-terminal peptidyl-alanine amidation
GO_0018035|obsolete C-terminal peptidyl-arginine amidation
GO_0018036|obsolete C-terminal peptidyl-asparagine amidation
GO_0018037|obsolete C-terminal peptidyl-aspartic acid amidation
GO_0018038|obsolete C-terminal peptidyl-cysteine amidation
GO_0018039|obsolete C-terminal peptidyl-glutamine amidation
GO_0018040|obsolete C-terminal peptidyl-glutamic acid amidation
GO_0018041|obsolete C-terminal peptidyl-glycine amidation
GO_0018042|obsolete C-terminal peptidyl-histidine amidation
GO_0018043|obsolete C-terminal peptidyl-isoleucine amidation
GO_0018044|obsolete C-terminal peptidyl-leucine amidation
GO_0018045|obsolete C-terminal peptidyl-lysine amidation
GO_0018046|obsolete C-terminal peptidyl-methionine amidation
GO_0018047|obsolete C-terminal peptidyl-phenylalanine amidation
GO_0018048|obsolete C-terminal peptidyl-proline amidation
GO_0018049|obsolete C-terminal peptidyl-serine amidation
GO_0018050|obsolete C-terminal peptidyl-threonine amidation
GO_0018051|obsolete C-terminal peptidyl-tryptophan amidation
GO_0018052|obsolete C-terminal peptidyl-tyrosine amidation
GO_0018053|obsolete C-terminal peptidyl-valine amidation
GO_0018054|obsolete peptidyl-lysine biotinylation
GO_0018055|
GO_0018056|
GO_0018057|peptidyl-lysine oxidation
GO_0018058|N-terminal protein amino acid deamination, from amino carbon
GO_0018059|N-terminal peptidyl-serine deamination
GO_0018060|N-terminal peptidyl-cysteine deamination
GO_0018061|peptidyl-L-3-phenyllactic acid biosynthetic process from peptidyl-phenylalanine
GO_0018062|peptidyl-tryptophan succinylation
GO_0018063|cytochrome c-heme linkage
GO_0018064|protein-L-histidine N-tele-methyltransferase activity
GO_0018065|obsolete protein-cofactor linkage
GO_0018067|peptidyl-L-3',4'-dihydroxyphenylalanine biosynthetic process from peptidyl-tyrosine
GO_0018068|peptidyl-L-2',4',5'-topaquinone biosynthetic process from peptidyl-tyrosine
GO_0018069|peptide cross-linking via 4'-(L-tryptophan)-L-tryptophyl quinone
GO_0018070|peptidyl-serine phosphopantetheinylation
GO_0018071|NAD(P)-cysteine ADP-ribosyltransferase activity
GO_0018072|peptidyl-L-glutamyl 5-glycerylphosphorylethanolamine biosynthetic process from peptidyl-glutamic acid
GO_0018073|obsolete protein bromination
GO_0018074|obsolete peptidyl-histidine bromination
GO_0018075|obsolete peptidyl-phenylalanine bromination
GO_0018076|N-terminal peptidyl-lysine acetylation
GO_0018077|obsolete protein iodination
GO_0018078|obsolete peptidyl-thyronine iodination
GO_0018079|obsolete protein halogenation
GO_0018080|obsolete peptidyl-tryptophan bromination
GO_0018081|peptide cross-linking via lanthionine or 3-methyl-lanthionine
GO_0018082|peptidyl-(Z)-dehydrobutyrine biosynthetic process from peptidyl-threonine
GO_0018083|peptidyl-L-3-oxoalanine biosynthetic process from peptidyl-cysteine or peptidyl-serine
GO_0018084|peptidyl-lactic acid biosynthetic process from peptidyl-serine
GO_0018085|peptidyl-L-amino acid racemization
GO_0018086|obsolete alanine racemization
GO_1990822|basic amino acid transmembrane transport
GO_1902475|L-alpha-amino acid transmembrane transport
GO_0022858|alanine transmembrane transporter activity
GO_0070778|L-aspartate transmembrane transport
GO_1903401|L-lysine transmembrane transport
GO_0043865|methionine transmembrane transporter activity
GO_0035524|proline transmembrane transport
GO_0022889|serine transmembrane transporter activity
GO_1904680|peptide transmembrane transporter activity
GO_0035673|oligopeptide transmembrane transporter activity
GO_0072489|methylammonium transmembrane transport
GO_1902047|polyamine transmembrane transport
GO_0071918|urea transmembrane transport
GO_1903716|guanine transmembrane transport
GO_1903791|uracil transmembrane transport
GO_1901679|nucleotide transmembrane transport
GO_1902603|carnitine transmembrane transport
GO_1902616|acyl carnitine transmembrane transport
GO_0035349|coenzyme A transmembrane transport
GO_0035350|FAD transmembrane transport
GO_0071934|thiamine transmembrane transport
GO_1901478|aminotriazole transmembrane transporter activity
GO_1901479|obsolete benomyl transmembrane transporter activity
GO_0140327|flippase activity
GO_0140331|aminophospholipid translocation
GO_0022803|passive transmembrane transporter activity
GO_0140135|mechanosensitive monoatomic cation channel activity
GO_0022834|ligand-gated channel activity
GO_0099604|ligand-gated calcium channel activity
GO_0045119|azole:proton antiporter activity
GO_0022883|zinc efflux transmembrane transporter activity
GO_0033214|siderophore-dependent iron import into cell
GO_0044718|siderophore transmembrane transport
GO_0070327|thyroid hormone transport
GO_0051958|methotrexate transport
GO_0043893|acetate:monoatomic cation symporter activity
GO_0140828|metal cation:monoatomic cation antiporter activity
GO_0042626|ATPase-coupled transmembrane transporter activity
GO_0043211|ABC-type carbohydrate transporter activity
GO_0033283|ATPase-coupled organic acid transmembrane transporter activity
GO_0043225|ATPase-coupled inorganic anion transmembrane transporter activity
GO_1904981|maltose transmembrane transport
GO_0033284|ATPase-coupled carboxylic acid transmembrane transporter activity
GO_0033285|ATPase-coupled monocarboxylic acid transmembrane transporter activity
GO_0034040|ATPase-coupled lipid transmembrane transporter activity
GO_0035351|heme transmembrane transport
GO_1901683|arsenate ion transmembrane transporter activity
GO_0071722|detoxification of arsenic-containing substance
GO_0042166|acetylcholine binding
GO_0043872|lysine:cadaverine antiporter activity
GO_0098719|sodium ion import across plasma membrane
GO_0022893|low-affinity tryptophan transmembrane transporter activity
GO_0071913|citrate secondary active transmembrane transporter activity
GO_1902599|sulfathiazole transmembrane transport
GO_0071916|dipeptide transmembrane transporter activity
GO_0034639|L-amino acid efflux transmembrane transporter activity
GO_0019196|galactosamine transmembrane transporter activity
GO_1903711|spermidine transmembrane transport
GO_0048502|ABC-type thiamine transporter activity
GO_0098776|protein transport across the cell outer membrane
GO_0032778|P-type cobalt transporter activity
GO_0042884|microcin transport
GO_0046411|2-keto-3-deoxygluconate transmembrane transport
GO_0031460|glycine betaine transport
GO_0140358|P-type transmembrane transporter activity
GO_0035353|nicotinamide mononucleotide transmembrane transport
GO_0090124|N-4 methylation of cytosine
GO_0019755|one-carbon compound transport
GO_0098705|copper ion import across plasma membrane
GO_0098706|iron ion import across cell outer membrane
GO_0050787|detoxification of mercury ion
GO_0098661|inorganic anion transmembrane transport
GO_1902025|nitrate import
GO_0098658|inorganic anion import across plasma membrane
GO_1901264|carbohydrate derivative transport
GO_0042873|aldonate transmembrane transport
GO_0071715|icosanoid transport
GO_0042918|alkanesulfonate transport
GO_0042869|aldarate transmembrane transport
GO_1901656|glycoside transport
GO_2001088|trisaccharide transport
GO_0090480|purine nucleotide-sugar transmembrane transport
GO_0072337|modified amino acid transport
GO_0032328|alanine transport
GO_1903826|L-arginine transmembrane transport
GO_0051938|L-glutamate import
GO_0042938|dipeptide transport
GO_1902022|L-lysine transport
GO_0032329|serine transport
GO_1901571|fatty acid derivative transport
GO_0098700|neurotransmitter loading into synaptic vesicle
GO_0072530|purine-containing compound transmembrane transport
GO_1901374|acetate ester transport
GO_0051937|catecholamine transport
GO_0051180|vitamin transport
GO_0035461|vitamin transmembrane transport
GO_1901678|iron coordination entity transport
GO_0044539|long-chain fatty acid import into cell
GO_0098739|import across plasma membrane
GO_1901337|thioester transport
GO_0044391|ribosomal subunit
GO_0034030|ribonucleoside bisphosphate biosynthetic process
GO_0034033|purine nucleoside bisphosphate biosynthetic process
GO_0034031|ribonucleoside bisphosphate catabolic process
GO_0034034|purine nucleoside bisphosphate catabolic process
GO_0043446|cellular alkane metabolic process
GO_0043447|alkane biosynthetic process
GO_0034035|purine ribonucleoside bisphosphate metabolic process
GO_0034036|purine ribonucleoside bisphosphate biosynthetic process
GO_0034037|purine ribonucleoside bisphosphate catabolic process
GO_0046149|pigment catabolic process
GO_0060229|lipase activator activity
GO_0090665|glycoprotein complex
GO_0042834|peptidoglycan binding
GO_0046341|CDP-diacylglycerol metabolic process
GO_0120082|smooth endoplasmic reticulum cisterna
GO_0035927|RNA import into mitochondrion
GO_0071840|cellular component organization or biogenesis
GO_0198738|cell-cell signaling by wnt
GO_0071482|cellular response to light stimulus
GO_0022400|regulation of rhodopsin mediated signaling pathway
GO_0036367|light adaption
GO_0046154|rhodopsin metabolic process
GO_0099003|vesicle-mediated transport in synapse
GO_0099504|synaptic vesicle cycle
GO_0042214|terpene metabolic process
GO_0046246|terpene biosynthetic process
GO_0046247|terpene catabolic process
GO_1901616|organic hydroxy compound catabolic process
GO_0035860|glial cell-derived neurotrophic factor receptor signaling pathway
GO_0046906|tetrapyrrole binding
GO_0042314|bacteriochlorophyll binding
GO_0050664|oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO_0030243|cellulose metabolic process
GO_0030244|cellulose biosynthetic process
GO_0030245|cellulose catabolic process
GO_0048489|synaptic vesicle transport
GO_0070142|synaptic vesicle budding
GO_0036466|synaptic vesicle recycling via endosome
GO_0099532|synaptic vesicle endosomal processing
GO_0030118|clathrin coat
GO_0072318|clathrin coat disassembly
GO_1901861|regulation of muscle tissue development
GO_0051995|Se-methyltransferase activity
GO_0043169|cation binding
GO_0098869|cellular oxidant detoxification
GO_0036137|kynurenine aminotransferase activity
GO_0046993|oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with oxygen as acceptor
GO_0019120|hydrolase activity, acting on acid halide bonds, in C-halide compounds
GO_0030639|polyketide biosynthetic process
GO_0031163|metallo-sulfur cluster assembly
GO_0070816|obsolete phosphorylation of RNA polymerase II C-terminal domain
GO_0070993|translation preinitiation complex
GO_0033290|eukaryotic 48S preinitiation complex
GO_0047381|dodecanoyl-[acyl-carrier-protein] hydrolase activity
GO_0036092|phosphatidylinositol-3-phosphate biosynthetic process
GO_0034594|phosphatidylinositol trisphosphate phosphatase activity
GO_0034596|phosphatidylinositol phosphate 4-phosphatase activity
GO_0106017|phosphatidylinositol-3,4-bisphosphate phosphatase activity
GO_0090158|endoplasmic reticulum membrane organization
GO_0045177|apical part of cell
GO_0030951|establishment or maintenance of microtubule cytoskeleton polarity
GO_0036011|imaginal disc-derived leg segmentation
GO_0048728|proboscis development
GO_0060582|cell fate determination involved in pattern specification
GO_0031332|RNAi effector complex
GO_0046536|dosage compensation complex
GO_1904949|ATPase complex
GO_0033176|proton-transporting V-type ATPase complex
GO_0140448|signaling receptor ligand precursor processing
GO_0019957|C-C chemokine binding
GO_0019958|C-X-C chemokine binding
GO_0019960|C-X3-C chemokine binding
GO_0061134|peptidase regulator activity
GO_0036125|fatty acid beta-oxidation multienzyme complex
GO_0070603|SWI/SNF superfamily-type complex
GO_0035772|interleukin-13-mediated signaling pathway
GO_0019973|interleukin-13 binding
GO_0035722|interleukin-12-mediated signaling pathway
GO_0019972|interleukin-12 binding
GO_0038192|gastric inhibitory peptide signaling pathway
GO_0045765|regulation of angiogenesis
GO_2000181|negative regulation of blood vessel morphogenesis
